fid,dn,fid_2,dn_2,fid_3,id,objectid_1,objectid,village,vlcode,block,bkcode,subdistric,sdcode,sub_distri,district,dtcode,district_h,state,stcode,country,total_urba,total_hous,total_popu,avg_househ,total_geog,total_male,total_fema,tapwater_t,tapwater_u,covered_we,covered__1,covered__2,uncovered_,uncovere_1,uncovere_2,handpump_s,hand_pump_,hand_pum_1,tubewell_b,tube_wells,tube_wel_1,spring_sta,spring_fun,spring_f_1,river_cana,tank_pond_,others_sta,closed_dra,open_drain,village_pi,forest_are,area_under,barren_unc,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,other_sour,nearest_to,nearest__1,shape_leng,shape_le_1,shape_area,ds_name,src_agency,state_name,village_area_km2,village_id,flood_area_km2,flood_exposure_pct,flood_risk,hospital_dist_km,name,amenity,population_density,water_availability,drainage_availability,healthcare_gap_score,river_distance_km,flood_score,population_score,water_gap_score,drainage_gap_score,service_gap_score,river_vulnerability_score,ml_cluster,ml_risk_group,vulnerability_score,vulnerability_class,flood_score_contribution,population_score_contribution,service_gap_score_contribution,river_vulnerability_score_contribution,underserved_score,welfare_priority_score,welfare_priority,priority_rank,priority_services,priority_reason
51,1,1,1,3070,40919,40919,107454,Mohad Chak,540888,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,0,0,0.0,184,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,35,0,0,51,62,0,37,0,37,0,0,0,0,0,,0,6507.39138,6507.39138,1923971.044,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3070,0.470949865,23.54749327,Moderate,8.094398636582278,Nobel Multispeciality Hospital,hospital,0.0,0.0,0.0,47.68531041581745,0,63.19077462430731,0.0,100.0,50.0,65.89510347193915,50.0,0,Very High,49.25,Moderate,25.28,0.0,16.47,7.5,45.59,49.6,Moderate,11,"Drinking Water, Drainage, Evacuation Preparedness, Emergency Flood Response","Priority is influenced by high flood exposure, water-service gap, drainage-service gap."
52,1,1,1,4106,40937,40937,107472,Kharpundi,539155,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,359,1342,3.73816156,504,675,667,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,113,7,46,4,0,10,33,3,289,220,69,0,7,212,0,0,GADCHIROLI,4,13705.40003,13705.40003,8262224.164,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,4106,0.428398309,4.759981214,Low,3.34335438483734,Janatal Hospital,hospital,149.11111111111111,212.0,0.0,19.61124427326779,0,12.77277717930971,7.969594393966388,51.81818181818182,50.0,40.47647536381654,50.0,3,High,24.32,Low,5.11,1.59,10.12,7.5,25.18,21.36,Low,182,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
53,1,1,1,2968,39765,39765,106300,Sakhari,540970,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,291,1052,3.61512027,1341,527,525,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,467,0,38,22,0,167,132,35,480,313,167,0,146,163,0,4,MUL,29,19887.42362,19887.42362,19388333.05,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,2968,0.324781667,1.623908334,Low,6.84155159853633,Balprabha Hospital,hospital,52.6,163.0,0.0,40.282198857830714,0,4.3568403602208505,2.8113308391234635,62.95454545454545,50.0,51.07891477079206,50.0,3,High,22.57,Low,1.74,0.56,12.77,7.5,27.25,20.35,Low,191,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
54,1,1,1,4324,41167,41167,107702,Rampur Chak,538513,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,168,729,4.33928571,665,358,371,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,96,20,38,6,0,7,0,18,479,151,328,131,10,10,0,0,DESAIGANJ,25,13660.19149,13660.19149,7341346.203,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,4324,0.09470923,1.18386538,Low,4.50704559068957,SDH Armori,hospital,91.125,10.0,0.0,26.487531285454676,0,3.1759450684796633,4.870390165686798,97.72727272727273,50.0,58.07160133757581,50.0,4,Low,24.26,Low,1.27,0.97,14.52,7.5,31.13,22.78,Low,172,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
55,1,1,1,3042,39840,39840,106375,Mudaza Bk,539160,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,472,1826,3.86864407,673,896,930,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,256,27,45,6,0,100,0,0,239,94,145,0,1,93,0,0,GADCHIROLI,9,13935.17165,13935.17165,7958062.646,Administrative Boundary,Survey of India (SOI),"Maharashtra
",8,3042,0.171436944,2.142961801,Low,4.229014847289997,Dr. Mallick Hospital,hospital,228.25,93.0,0.0,24.844639098753795,0,5.749767550102045,12.199358631747728,78.86363636363636,50.0,51.23609182079672,50.0,4,Low,25.05,Moderate,2.3,2.44,12.81,7.5,30.43,23.15,Low,170,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
56,1,1,1,3000,39798,39798,106333,Wagholi,539225,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,396,1559,3.93686869,959,801,758,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,0,170,0,104,0,0,3,2,679,372,307,354,7,0,0,11,MUL,16,13701.17198,13701.17198,8676564.827,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,3000,0.006441658,0.071573983,Low,10.649443726071183,Balprabha Hospital,hospital,173.22222222222223,0.0,0.0,62.78315018297253,0,0.19100993471195413,9.258269493437853,100.0,50.0,70.92771672765751,50.0,1,Very Low,27.16,Moderate,0.08,1.85,17.73,7.5,38.28,27.03,Moderate,133,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
57,1,1,1,4362,41206,41206,107741,Shioni Bk,538524,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,443,1956,4.41534989,770,1015,941,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,0,144,0,25,0,0,1,2,598,298,300,222,33,0,0,43,DESAIGANJ,27,13627.35689,13627.35689,9237292.981,Administrative Boundary,Survey of India (SOI),"Maharashtra
",10,4362,0.631683932,6.316839317,Low,4.588560776631749,SDH Armori,hospital,195.6,0.0,0.0,26.969207018304875,0,16.950747504774384,10.454302512025654,100.0,50.0,58.98973567276829,50.0,4,Low,31.12,Moderate,6.78,2.09,14.75,7.5,36.02,30.17,Moderate,97,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
58,1,1,1,2961,39758,39758,106293,Kawathi,540954,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,459,1934,4.21350763,617,963,971,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,26,94,9,0,0,18,0,0,469,171,298,166,5,0,0,0,MUL,20,10129.81353,10129.81353,4613317.681,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,2961,0.089250262,1.785005239,Low,5.6832929054343815,"Rural Hospital, Saoli",hospital,386.8,0.0,0.0,33.4380127300369,0,4.78915855756796,20.673436664885088,100.0,50.0,61.14600424334564,50.0,4,Low,28.84,Moderate,1.92,4.13,15.29,7.5,37.73,28.17,Moderate,121,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
59,1,1,1,4040,40864,40864,107399,Antargaon Tola,540887,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,186,755,4.05913978,295,378,377,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,82,7,32,15,0,1,0,0,157,107,50,27,0,80,0,0,GADCHIROLI,17,8619.716162,8619.716162,4629393.583,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4040,0.376746201,7.534924027,Low,9.31192011278318,Nobel Multispeciality Hospital,hospital,151.0,80.0,0.0,54.87968214583977,0,20.21958861654669,8.070550507749866,81.81818181818181,50.0,62.23262132134053,50.0,1,Very Low,32.76,Moderate,8.09,1.61,15.56,7.5,37.58,32.13,Moderate,69,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
60,1,1,1,2931,39730,39730,106265,Vyahad Kh,540919,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,675,2621,3.88296296,220,1336,1285,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,35,0,5,0,5,20,5,150,113,37,51,7,44,0,11,MUL,24,22038.71043,22038.71043,16385829.97,Administrative Boundary,Survey of India (SOI),"Maharashtra
",17,2931,0.102032103,0.600188839,Low,11.89867276867801,"Rural Hospital, Saoli",hospital,154.1764705882353,44.0,0.0,70.16488289498785,0,1.6095959816432854,8.240324456880561,90.0,50.0,70.05496096499594,50.0,1,Very Low,27.31,Moderate,0.64,1.65,17.51,7.5,37.82,27.09,Moderate,131,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
61,1,1,1,4329,41172,41172,107707,Kaneri,538520,Armori,104.0,Armori,4053,Armori,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,90,378,4.2,64,183,195,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,24,5,8,6,0,2,0,0,21,34,-14,0,0,34,0,1,DESAIGANJ,23,7735.127688,7735.127688,2664741.481,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,4329,0.004013378,0.133779257,Low,5.231359695912404,SDH Armori,hospital,126.0,34.0,0.0,30.767525539462977,0,0.3579434454529772,6.734366648850881,92.27272727272728,50.0,57.680084270730084,50.0,4,Low,23.41,Low,0.14,1.35,14.42,7.5,30.93,21.89,Low,177,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
62,1,1,1,4212,41047,41047,107582,Mangli,540804,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,275,1037,3.77090909,345,504,533,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,0,14,0,10,0,2,0,0,319,19,300,0,7,0,0,12,BRAHMAPURI,12,7892.65059,7892.65059,4030060.72,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,4212,0.323966257,8.099156417,Low,10.391799455955038,Akshay Nursing Home,hospital,259.25,0.0,0.0,61.26072229191825,0,21.733757555606388,13.856226616782468,100.0,50.0,70.42024076397276,50.0,1,Very Low,36.57,Moderate,8.69,2.77,17.61,7.5,43.71,36.96,Moderate,35,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
63,1,1,1,4650,41904,41904,108439,Tembhari,537516,Lakhandur,94.0,Lakhandur,4043,Lakhandur,Bhandara,471,BHANDARA,MH,27,India,Rural,120,501,4.175,242,246,255,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,87,0,3,0,1,0,0,151,40,111,0,40,0,0,0,Desaiganj,20,6199.309496,6199.309496,2353862.943,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4650,0.012825314,0.64126568,Low,5.207590936143384,"Government Hospital, Soni",hospital,250.5,0.0,0.0,30.627075209277827,0,1.7198294206645617,13.388562266167824,100.0,50.0,60.20902506975927,50.0,4,Low,25.92,Moderate,0.69,2.68,15.05,7.5,34.47,24.88,Low,152,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
64,1,1,1,2991,39789,39789,106324,Mohurli Mokasa,539219,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,262,1059,4.04198473,610,522,537,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,,Available,0,126,0,12,0,2,1,0,469,306,163,301,0,0,0,5,MUL,34,10130.66686,10130.66686,6403157.679,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,2991,0.349213928,4.988770393,Low,8.175369980890554,"Rural Hospital, Saoli",hospital,151.28571428571428,0.0,0.0,48.16377257177965,0,13.386753750975103,8.085821180422997,100.0,50.0,66.05459085725988,50.0,1,Very Low,30.99,Moderate,5.35,1.62,16.51,7.5,38.13,30.6,Moderate,91,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
65,1,1,1,4170,41003,41003,107538,Borgaon,540771,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,203,785,3.86699507,268,388,397,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,0,20,0,0,0,0,2,246,14,232,0,4,10,0,0,BRAHMAPURI,3,6501.297162,6501.297162,2040538.415,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,4170,0.008020644,0.401032177,Low,3.0701703987395463,Akshay Nursing Home,hospital,392.5,10.0,0.0,17.996991724056517,0,1.0751409646117185,20.978086584714056,97.72727272727273,50.0,55.24142148377641,50.0,4,Low,25.94,Moderate,0.43,4.2,13.81,7.5,34.13,24.61,Low,158,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
66,1,1,1,2735,39536,39536,106071,Jungaon,541470,Pombhurna,124.0,Pombhurna,4073,Pombhurna,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,322,1309,4.06521739,978,650,659,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,123,0,250,0,0,0,0,13,592,31,561,0,31,0,0,0,MUL,41,11006.89571,11006.89571,3827534.279,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,2735,0.036443786,0.911094651,Low,10.376351962593311,,,327.25,0.0,0.0,61.16944258004976,0,2.44394000698989,17.490646712987708,100.0,50.0,70.38981419334992,50.0,1,Very Low,29.57,Moderate,0.98,3.5,17.6,7.5,40.93,29.69,Moderate,103,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
67,1,1,1,2821,39618,39618,106153,Ganpur Raiyyatwari,539301,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,485,1950,4.02061856,1021,978,972,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,145,224,5,10,0,5,33,0,599,58,540,0,0,31,0,27,GADCHIROLI,60,15955.82089,15955.82089,12914968.82,Administrative Boundary,Survey of India (SOI),"Maharashtra
",13,2821,0.049967864,0.384368187,Low,15.020930336325849,Rural Hospital Gondpipari,hospital,150.0,31.0,0.0,88.6143985853602,0,1.0304216317517219,8.017103153393906,92.95454545454545,50.0,77.18964801330189,50.0,1,Very Low,28.81,Moderate,0.41,1.6,19.3,7.5,41.21,29.29,Moderate,106,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
68,1,1,1,3030,39826,39826,106361,Haramba,540972,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,533,2153,4.03939962,684,1070,1083,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,0,0,95,22,0,33,29,4,502,317,185,50,4,200,0,62,MUL,32,12076.73189,12076.73189,4549548.938,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,3030,0.364389053,7.287781067,Low,7.0749275206345255,Balprabha Hospital,hospital,430.6,200.0,0.0,41.66122433642038,0,19.556358004175653,23.01443078567611,54.54545454545455,50.0,48.73555962729164,50.0,3,High,32.11,Moderate,7.82,4.6,12.18,7.5,35.18,30.56,Moderate,94,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
69,1,1,1,4549,41804,41804,108339,Ahernavargaon,540736,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,1125,4666,4.14755556,1202,2311,2355,,,,Available,Available,Available,Not Available,Not Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,Available,0,25,132,5,0,21,0,62,958,214,744,0,214,0,0,0,BRAHMAPURI,7,16244.38183,16244.38183,13261315.63,Administrative Boundary,Survey of India (SOI),"Maharashtra
",14,4549,1.913531324,13.66808088,Low,4.864976969124482,"Government Hospital, Soni",hospital,333.2857142857143,0.0,0.0,28.602558774197828,0,36.67847288087216,17.813239673207605,100.0,50.0,59.534186258065944,50.0,0,Very High,40.62,Moderate,14.67,3.56,14.88,7.5,42.45,40.34,Moderate,22,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
70,1,1,1,4572,41825,41825,108360,Sondri,540745,Brahmapuri,118.0,Brahmapuri,4067,Brahmapuri,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,354,1455,4.11016949,479,713,742,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,0,8,18,6,0,8,2,15,422,28,394,0,28,0,0,0,BRAHMAPURI,9,9568.315774,9568.315774,4845460.836,Administrative Boundary,Survey of India (SOI),"Maharashtra
",5,4572,0.509644765,10.1928953,Low,4.218016049307679,"Vikttubaba physiotherapy clinic, wadsa",hospital,291.0,0.0,0.0,24.77964686427172,0,27.35249628689432,15.553180117584178,100.0,50.0,58.25988228809057,50.0,4,Low,36.12,Moderate,10.94,3.11,14.56,7.5,39.27,35.46,Moderate,41,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
71,1,1,1,3061,39858,39858,106393,Darshani Chak,539184,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,75,276,3.68,807,145,131,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,,Available,171,4,45,12,0,84,145,38,308,86,222,0,0,84,0,2,GADCHIROLI,20,7150.176645,7150.176645,2332188.544,Administrative Boundary,Survey of India (SOI),"Maharashtra
",2,3061,0.014865122,0.743256124,Low,15.030229902363144,Lifeline Hospital & Ayurvedic Panchakarma Centre,hospital,138.0,84.0,0.0,88.66935000618358,0,1.993530053812737,7.375734901122394,80.9090909090909,50.0,73.19281363842482,50.0,1,Very Low,28.07,Moderate,0.8,1.48,18.3,7.5,39.21,28.15,Moderate,122,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
72,1,1,1,3041,39839,39839,106374,Kaneri,539117,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,482,1900,3.94190871,652,943,957,,,,Available,Available,Available,Available,Available,,Available,Available,,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,,Available,46,116,0,23,0,121,0,0,346,167,179,0,7,160,0,0,GADCHIROLI,10,11692.97808,11692.97808,6773991.086,Administrative Boundary,Survey of India (SOI),"Maharashtra
",7,3041,0.380492167,5.435602383,Low,5.231359695912404,SDH Armori,hospital,271.42857142857144,160.0,0.0,30.767525539462977,0,14.585868038327934,14.507139039474689,63.63636363636363,50.0,48.13462972527554,50.0,3,High,28.27,Moderate,5.83,2.9,12.03,7.5,31.34,26.31,Moderate,136,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
73,1,1,1,3113,39913,39913,106448,Reserved Forest,999999,,,Sawali,4068,,Chandrapur,473,,MH,27,India,Rural,0,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,28854.3424,28854.3424,24493069.91,Administrative Boundary,Survey of India (SOI),"Maharashtra
",25,3113,0.00482388,0.019295521,Low,2.7838169467290927,"Government Hospital, Kanpa",hospital,0.0,0.0,0.0,16.304920397013767,0,0.05071592687909479,0.0,100.0,50.0,55.434973465671256,50.0,4,Low,21.38,Low,0.02,0.0,13.86,7.5,27.73,19.42,Low,195,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
74,1,1,1,4153,40986,40986,107521,Kotgal,539114,Gadchiroli,108.0,Gadchiroli,4057,Gadchiroli,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,821,3338,4.06577345,917,1648,1690,,,,Not Available,Not Available,Available,Not Available,Not Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,98,211,18,87,0,13,20,0,472,212,260,0,18,193,0,0,GADCHIROLI,7,13160.28444,13160.28444,10501060.55,Administrative Boundary,Survey of India (SOI),"Maharashtra
",11,4153,0.506839016,4.607627416,Low,3.97042218171089,Nobel Multispeciality Hospital,hospital,303.45454545454544,193.0,0.0,23.31660710983268,0,12.363921904837829,16.218842621835673,56.13636363636363,50.0,43.15099024873211,50.0,3,High,26.48,Moderate,4.95,3.24,10.79,7.5,28.91,24.03,Low,162,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
75,1,1,1,4355,41202,41202,107737,Kondhala,538494,Desaiganj (Vadasa),103.0,Desaiganj (Vadasa),4052,Desaiganj (Vadasa),Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,974,3873,3.97638604,1672,1960,1913,,,,Available,Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,233,252,8,80,0,17,0,6,1075,464,611,451,12,0,0,0,DESAIGANJ,8,21195.57759,21195.57759,19244176.84,Administrative Boundary,Survey of India (SOI),"Maharashtra
",20,4355,2.208682004,11.04341002,Low,7.55261725402854,Bansod Hospital,hospital,193.65,0.0,0.0,44.48390761620568,0,29.63492989769263,10.350080171031534,100.0,50.0,64.82796920540189,50.0,0,Very High,37.63,Moderate,11.85,2.07,16.21,7.5,41.45,37.52,Moderate,33,"Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by water-service gap, drainage-service gap."
76,1,1,1,2791,39589,39589,106124,Haladi,539294,Chamorshi,109.0,Chamorshi,4058,Chamorshi,Gadchiroli,475,GADCHIROLI,MH,27,India,Rural,108,430,3.98148148,286,226,204,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,,Available,53,158,0,0,0,3,1,0,72,66,6,0,0,65,0,1,GADCHIROLI,52,9187.910184,9187.910184,4226203.259,Administrative Boundary,Survey of India (SOI),"Maharashtra
",4,2791,0.015893773,0.397344316,Low,11.674139084136112,,,107.5,65.0,0.0,68.83810646920641,0,1.0652442541839997,5.745590593265634,85.22727272727272,50.0,68.02179306549304,50.0,1,Very Low,26.08,Moderate,0.43,1.15,17.01,7.5,35.95,25.58,Moderate,141,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
77,1,1,1,3034,39830,39830,106365,Donala Chak,540964,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,0,0,0.0,443,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,64,17,0,93,92,10,166,124,42,0,82,42,0,0,,0,7709.241553,7709.241553,2555741.193,Administrative Boundary,Survey of India (SOI),"Maharashtra
",3,3034,0.345985042,11.53283472,Low,13.099301922034863,Balprabha Hospital,hospital,0.0,42.0,0.0,77.25943737143461,0,30.948345596406085,0.0,90.45454545454545,50.0,72.57132760866001,50.0,1,Very Low,38.02,Moderate,12.38,0.0,18.14,7.5,42.48,38.4,Moderate,29,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
78,1,1,1,3019,39815,39815,106350,Chichbodi,540913,Sawali,119.0,Sawali,4068,Sawali,Chandrapur,473,CHANDRAPUR,MH,27,India,Rural,342,1330,3.88888889,671,679,651,,,,Not Available,Not Available,Available,Available,Available,,Available,Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Available,200,61,0,38,0,4,25,22,319,236,82,205,0,20,0,11,MUL,26,14293.8483,14293.8483,8513531.899,Administrative Boundary,Survey of India (SOI),"Maharashtra
",9,3019,0.700987231,7.788747008,Low,10.47138443553808,"Rural Hospital, Saoli",hospital,147.77777777777777,20.0,0.0,61.73099237621544,0,20.90074567286127,7.898331254825108,95.45454545454545,50.0,69.06184594358696,50.0,1,Very Low,34.71,Moderate,8.36,1.58,17.27,7.5,41.08,34.77,Moderate,43,"Healthcare, Drinking Water, Drainage, Evacuation Preparedness","Priority is influenced by limited healthcare accessibility, water-service gap, drainage-service gap."
